	Japanese	šinu
	Ainu	rai
		ekot
	Korean	juk
	Turkī	ūl
	Manchu	buche
	Mongolian	ükü
	Saukpà	...
	Basque	il
		hiratu
		hiltzen
850.	Burušaskī	gu-īr
2a.	Malay	màti
2b.	Cham	mötai
1.	Salôn	mà-tai
	K’mēr	slàp
3a.	Talaing, written	k’yuit
3b. 	Talaing, spoken	chǒᵗ
	Sakai	dāt
	Sěmang	kᵉbös
		hàlod
4a.	Palaung	yạ̄m
4b.	Katuṟṟ	yàm
4c.	Darāng	yàm
5.	Wa	yim
	Sǒn	yum
	En	yum
	Tai-loi	yum
		yim
	A Mǒk	yem
	Āng-kū	yàm
	Möng Lwe	yàm
	Danå	pi
		pīn
	Yin/Riang	yàm
	K’a Muk	…
8.	K’āsī, Standard	iāp
12.	Wār	iip
13.	Nicobarese	kāpāh
		ṅafāh
		poin-ñǒp
15a. 	K’erwārī, Santālī	gujuᵏ
16. (15b.)	Muṇḍārī	gåjåᵏ
26. 	Kūrkū	gū
27.	K’aṛiā	goᶜʰ
28.	Juāṅg	goju
29.	Savara	kie
30.	Gadabā	gōi
	Mandarin	˨˦ szᵃ
		(Pekin, ˨˦ ssǔ)
	Cantonese	˦˥ sz
	Gyåmi	…
45a.	Siamese, written	˧ tāi
45b.	Siamese, spoken	˧ tāi
	Lao	…
46.	Lü	tai
47.	K’ün	tai
49.	Šàn	˨˦ tai
51.	Āhom	tai
52.	K’āmtī	tai
	Annamese	˦˥ chėt
35a.	Pwo, literary	˨ θī
35b.	Pwo Bassein	θi
35c.	Pwo Maulmein	θi
36.	Taungθu	θi
34a.	Sgå, literary	˧ θi
34b.	Sgå, spoken	θi
32.	Bwè	θi
41a.	Wewaw	θi
33.	Karenbyu	θi
	Bräo	θi
40a.	Karenni	θö
(40b.)	Yintalä	sai
(40c.)	Sin-hmå Mäpauk	θi
39. 	Gheko	θu
37. 	Padaung	θu
38. 	Yeinbå	θüh
	Manö	sī
41.	Zayein	ser
	Mopwa, Bilichi	ti
	Mopwa, Dermuha	θe
43a.	Miao-tsü (Hmōng)	˦ ˦˨ twa
43b.	Hē-Miao	tà
43c.	Pē-Miao	yao
(42a.)	Man	tāi
42b.	Lanten-Yao	…
