# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
#
23459	114_and	And	OLDPERSIAN	OLD_PERSIAN	uta	uta	u t̪ ʌ	oldp1254		32.0	54.0	
23460	114_and	And	AVESTAN	AVESTAN	uta	uta	u t̪ ʌ	aves1237		31.541	53.633	
23461	114_and	And	PAHLAVI	PAHLAVI	u	u	u	pahl1241		30.06	52.7	
23462	114_and	And	PERSIAN	PERSIAN	u	u	u	west2369		32.9	53.3	
23463	114_and	And	PERSIAN	PERSIAN	ū	ū	uː	west2369		32.9	53.3	
23464	114_and	And	PASHTOOFPESHAWAR	PASHTO_OF_PESHAWAR	au	au	au	nort2646		34.0	71.33	
23465	114_and	And	WAZIRI	WAZIRI	au	au	au	cent1973		31.9153	69.4529	
23466	114_and	And	PASHTOOFKANDAHAR	PASHTO_OF_KANDAHAR	au	au	au	sout2649		37.17	68.25	
23467	114_and	And	ORMURI	ORMURI	wa	wa	w ʌ	ormu1247		32.6819	69.3444	
23468	114_and	And	ORMURI	ORMURI	biyē	biyē	b i j eː	ormu1247		32.6819	69.3444	
23469	114_and	And	BALOCHIMAKRANI	BALOCHI_MAKRANI	ō	ō	oː	sout2642		26.0	64.0	
23470	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	wa	wa	w ʌ	east2744				
23471	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	di	di	d̪ i	east2744				
23472	114_and	And	WAXI	WAXI	o	o	o	wakh1245		37.1768	73.9777	
23473	114_and	And	SHIYNI	SHIYNI	ō	ō	oː	shug1248		37.5018	71.7925	
23474	114_and	And	SARIKOLI	SARIKOLI	at	at	ʌ t̪	sari1246		37.905	75.1449	
23475	114_and	And	ISHKASHMIZEBAKI	ISHKASHMI_ZEBAKI	ī	ī	iː	ishk1246		36.67	71.55	
23476	114_and	And	ISHKASHMIZEBAKI	ISHKASHMI_ZEBAKI	wō	wō	w oː	ishk1246		36.67	71.55	
23477	114_and	And	ISHKASHMIZEBAKI	ISHKASHMI_ZEBAKI	zā	zā	z ʌː	ishk1246		36.67	71.55	
23478	114_and	And	MUNJANIORMUNGI	MUNJANI_OR_MUNGI	o	o	o	munj1244		35.9321	70.9404	
23479	114_and	And	BASHGALI	BASHGALI	je	je	dʒ e	kati1270		35.4145	70.9826	
23480	114_and	And	WASIVERIORVERON	WASI_VERI_OR_VERON	rē	rē	r eː	pras1239		35.1731	70.8004	
23481	114_and	And	KALASHA	KALASHA	je	je	dʒ e	kala1372		35.6415	71.6657	
23482	114_and	And	KALASHA	KALASHA	že	že	ʒ e	kala1372		35.6415	71.6657	
23483	114_and	And	GAWARBATI	GAWAR_BATI	bi	bi	b i	gawa1247		35.1982	71.5428	
23484	114_and	And	PASHAIEASTERN	PASHAI_EASTERN	au	au	au	sout2672		34.43099	70.30351	
23485	114_and	And	PASHAIEASTERN	PASHAI_EASTERN	wa	wa	w ʌ	sout2672		34.43099	70.30351	
23486	114_and	And	PASHAIWESTERN	PASHAI_WESTERN	au	au	au	sout2671		34.8478	69.8734	
23487	114_and	And	PASHAIWESTERN	PASHAI_WESTERN	wa	wa	w ʌ	sout2671		34.8478	69.8734	
23488	114_and	And	KHOWARORCHITRALI	KHOWAR_OR_CHITRALI	o-che	o-che	o + tʃ e	khow1242		36.0	72.0	
23489	114_and	And	SHINAGILGITI	SHINA_GILGITI	-ga	-ga	+ g ʌ	gilg1242				
23490	114_and	And	CHILASI	CHILASI	-gah	-gah	+ g ʌ h	shin1264		34.6515	75.287	
23491	114_and	And	CHILASIOFDRAS	CHILASI_OF_DRAS	mutō	mutō	m u t̪ oː	dras1242				
23492	114_and	And	CHILASIOFDAHHANU	CHILASI_OF_DAH_HANU	ũgā	ũgā	ũ g ʌː	brok1247		34.5308	76.6026	
23493	114_and	And	KASHMIRI	KASHMIRI	ta	ta	t̪ ʌ	kash1277		34.166825	74.330455	
23494	114_and	And	KASHMIRI	KASHMIRI	biyě	biyě	b i j e	kash1277		34.166825	74.330455	
23495	114_and	And	KASHTAWARI	KASHTAWARI	tě	tě	t̪ e	kish1245				
23496	114_and	And	KASHTAWARI	KASHTAWARI	biyě	biyě	b i j e	kish1245				
23497	114_and	And	POGULI	POGULI	tě	tě	t̪ e	pogu1238				
23498	114_and	And	DODASIRAJI	DODA_SIRAJI	tě	tě	t̪ e	sira1264				
23499	114_and	And	DODASIRAJI	DODA_SIRAJI	tē	tē	t̪ eː	sira1264				
23500	114_and	And	RAMBANI	RAMBANI	hōr	hōr	h oː r	ramb1240				
23501	114_and	And	RAMBANI	RAMBANI	tǎ	tǎ	t̪ æ	ramb1240				
23502	114_and	And	KOHISTANIGARWI	KOHISTANI_GARWI	aō	aō	ʌ oː	indu1241		35.3389	73.0154	
23503	114_and	And	TORWALI	TORWALI	ta	ta	t̪ ʌ	torw1241		35.3101	72.5316	
23504	114_and	And	MAIYA	MAIYA	ta	ta	t̪ ʌ	indu1241		35.3389	73.0154	
23510	114_and	And	SANSKRIT	SANSKRIT	cha	cha	tʃ ʌ	sans1269		20.0	77.0	
23511	114_and	And	SANSKRIT	SANSKRIT	(another) aparam	aparam	ʌ p ʌ r ʌ m	sans1269		20.0	77.0	
23512	114_and	And	PRAKRIT	PRAKRIT	cha	cha	tʃ ʌ	saur1252		27.46	77.56	
23513	114_and	And	PRAKRIT	PRAKRIT	avaraṁ	avaraṁ	ʌ v ʌ r ã	saur1252		27.46	77.56	
23514	114_and	And	LAHNDAOFSHAHPUR	LAHNDA_OF_SHAHPUR	hor	hor	h o r	west2386		30.0948	75.3474	
23515	114_and	And	MULTANI	MULTANI	tē	tē	t̪ eː	mult1243				
23516	114_and	And	MULTANI	MULTANI	attē	attē	ʌ t̪ t̪ eː	mult1243				
23517	114_and	And	HINDKI	HINDKI	attē	attē	ʌ t̪ t̪ eː	sout2668		33.2122	72.1702	
23518	114_and	And	HINDKI	HINDKI	attē̃	attē̃	ʌ t̪ t̪ ẽː	sout2668		33.2122	72.1702	
23519	114_and	And	THALI	THALI	tē	tē	t̪ eː	thal1241				
23520	114_and	And	THALI	THALI	atē	atē	ʌ t̪ eː	thal1241				
23521	114_and	And	THALI	THALI	hōr	hōr	h oː r	thal1241				
23525	114_and	And	POTHWARI	POTHWARI	hōr	hōr	h oː r	poth1238				
23526	114_and	And	CHIBHALI	CHIBHALI	tē	tē	t̪ eː	chib1247				
23527	114_and	And	PUNCHHI	PUNCHHI	te	te	t̪ e	punc1239				
23528	114_and	And	SINDHIVICHOLI	SINDHI_VICHOLI	à̃^ẽ	à̃^ẽ	ã ẽ	sind1272		26.0	69.0	
23529	114_and	And	LARI	LARI	à̃^ẽ	à̃^ẽ	ã ẽ	lari1254				
23530	114_and	And	LARI	LARI	ã^ü	ã^ü	ã y	lari1254				
23531	114_and	And	LARI	LARI	nē̃	nē̃	n̪ ẽː	lari1254				
23532	114_and	And	KACHCHHI	KACHCHHI	nē	nē	n̪ eː	kach1277		23.83	69.0	
23533	114_and	And	MARATHIDESHI	MARATHI_DESHI	āṇi	āṇi	ʌː ɳ i	mara1378		17.9344	76.6665	
23534	114_and	And	NAGPURI	NAGPURI	āni	āni	ʌː n̪ i	varh1239		20.7139	79.7516	
23535	114_and	And	KONKANI	KONKANI	āni	āni	ʌː n̪ i	konk1267		19.2414	73.9166	
23536	114_and	And	SINGHALESE	SINGHALESE	saha	saha	s ʌ h ʌ	sinh1246		8.0	81.0	
23537	114_and	And	SINGHALESE	SINGHALESE	-t	-t	+ t̪	sinh1246		8.0	81.0	
23538	114_and	And	ORIYA	ORIYA	ēbaṅ	ēbaṅ	eː b ʌ ŋ	oriy1255		21.0	85.0	
23539	114_and	And	ORIYA	ORIYA	ō	ō	oː	oriy1255		21.0	85.0	
23540	114_and	And	BIHARIMAITHILI	BIHARI_MAITHILI	āor	āor	ʌː o r	mait1250		26.3817	86.2211	
23541	114_and	And	MAGAHI	MAGAHI	ǎǔr	ǎǔr	æ ŏ r	maga1260		25.0915	85.3335	
23542	114_and	And	MAGAHI	MAGAHI	au	au	au	maga1260		25.0915	85.3335	
23543	114_and	And	BHOJPURINORTHERN	BHOJPURI_NORTHERN	āur	āur	ʌː u r	nort2656				
23544	114_and	And	BHOJPURISOUTHERN	BHOJPURI_SOUTHERN	ǎǔr	ǎǔr	æ ŏ r	sout2661				
23545	114_and	And	BHOJPURISOUTHERN	BHOJPURI_SOUTHERN	awar	awar	ʌ w ʌ r	sout2661				
23546	114_and	And	NAGPURIA	NAGPURIA	ǎǔr	ǎǔr	æ ŏ r	sadr1248		23.6585	84.8114	
23547	114_and	And	BENGALIWRITTEN	BENGALI_WRITTEN	ār	ār	ʌː r	beng1280		24.0	90.0	
23548	114_and	And	BENGALIWRITTEN	BENGALI_WRITTEN	ebaṅ	ebaṅ	e b ʌ ŋ	beng1280		24.0	90.0	
23550	114_and	And	SOUTHWESTERNBENGALI	SOUTH_WESTERN_BENGALI	ār	ār	ʌː r	beng1280		24.0	90.0	
23551	114_and	And	SIRIPURIA	SIRIPURIA	ār’	ār’	ʌː r	siri1268				
23552	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	ār	ār	ʌː r	east2744				
23553	114_and	And	EASTERNBENGALI	EASTERN_BENGALI	āro	āro	ʌː r o	east2744				
