ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAPID	INFERRED_CLASS
23459	114_and	And	OLDPERSIAN	OLD_PERSIAN	uta	uta	u t̪ ʌ	oldp1254		32.0	54.0		7 1 7	XBZ	YTE	72	72.Y.V 72.T.C 72.E.V	1.5 1.75 0.8	ut̪ʌ	0	2	And:2
23460	114_and	And	AVESTAN	AVESTAN	uta	uta	u t̪ ʌ	aves1237		31.541	53.633		7 1 7	XBZ	YTE	2	2.Y.V 2.T.C 2.E.V	1.5 1.75 0.8	ut̪ʌ	0	2	And:2
23461	114_and	And	PAHLAVI	PAHLAVI	u	u	u	pahl1241		30.06	52.7		7	X	Y	76	76.Y.V	1.5	u	0	4	And:4
23462	114_and	And	PERSIAN	PERSIAN	u	u	u	west2369		32.9	53.3		7	X	Y	83	83.Y.V	1.5	u	0	4	And:4
23463	114_and	And	PERSIAN	PERSIAN	ū	ū	uː	west2369		32.9	53.3		7	X	Y	83	83.Y.V	1.5	uː	0	4	And:4
23464	114_and	And	PASHTOOFPESHAWAR	PASHTO_OF_PESHAWAR	au	au	au	nort2646		34.0	71.33		7	X	A	82	82.A.V	1.5	au	0	4	And:4
23465	114_and	And	WAZIRI	WAZIRI	au	au	au	cent1973		31.9153	69.4529		7	X	A	107	107.A.V	1.5	au	0	4	And:4
23466	114_and	And	PASHTOOFKANDAHAR	PASHTO_OF_KANDAHAR	au	au	au	sout2649		37.17	68.25		7	X	A	81	81.A.V	1.5	au	0	4	And:4
23467	114_and	And	ORMURI	ORMURI	wa	wa	w ʌ	ormu1247		32.6819	69.3444		6 7	AX	WE	74	74.W.C 74.E.V	2.0 1.5	wʌ	0	8	And:8
23468	114_and	And	ORMURI	ORMURI	biyē	biyē	b i j eː	ormu1247		32.6819	69.3444		1 7 6 7	AXBZ	PIJE	74	74.P.C 74.I.V 74.J.C 74.E.V	2.0 1.5 1.75 0.8	bijeː	0	16	And:16
23469	114_and	And	BALOCHIMAKRANI	BALOCHI_MAKRANI	ō	ō	oː	sout2642		26.0	64.0		7	X	U	5	5.U.V	1.5	oː	0	4	And:4
