ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	INFERRED_CLASS
23284	114_and	And	CANTONESE	CANTONESE	˨˩ k’aᵖ	˨˩ k’aᵖ	²¹ + kʱ ʌ p̚	cant1236					8 9 1 7 1	T_AXN	3_KEP	21	21.3.T 21._._ 21.K.C 21.E.V 21.P.c	1.0 0.0 1.6 3.0 0.5	²¹+kʱʌp̚	0	9	And:9
23296	114_and	And	PWOLITERARY	PWO_LITERARY	˧ dai	˧ dai	³ + d̪ ai	phra1235		18.0048	99.6382		8 9 1 7	T_AX	6_TA	114	114.6.T 114._._ 114.T.C 114.A.V	1.0 0.0 1.6 3.0	³+d̪ai	0	7	And:7
23297	114_and	And	PWOLITERARY	PWO_LITERARY	˦ då	˦ då	⁴ + d̪ ɔ	phra1235		18.0048	99.6382		8 9 1 7	T_AX	6_TU	114	114.6.T 114._._ 114.T.C 114.U.V	1.0 0.0 1.6 3.0	⁴+d̪ɔ	0	7	And:7
23298	114_and	And	PWOBASSEIN	PWO_BASSEIN	dä	dä	d̪ ɛ	pwow1235		17.3622	97.7044		1 7	AX	TE	113	113.T.C 113.E.V	2.0 1.5	d̪ɛ	0	7	And:7
23299	114_and	And	PWOMAULMEIN	PWO_MAULMEIN	dä	dä	d̪ ɛ	pwoe1235		15.1915	98.7355		1 7	AX	TE	115	115.T.C 115.E.V	2.0 1.5	d̪ɛ	0	7	And:7
23300	114_and	And	TAUNGTHU	TAUNGTHU	tǒm	tǒm	t̪ ɒ m	paok1235		20.211	97.5969		1 7 4	AXN	TOM	140	140.T.C 140.O.V 140.M.c	2.0 1.5 0.8	t̪ɒm	0	7	And:7
23301	114_and	And	SGALITERARY	SGA_LITERARY	˦ då°	˦ då°	⁴ + d̪ ɔ +	sgaw1245		17.9872	97.7126		8 9 1 7 9	T_AX_	6_TU_	126	126.6.T 126._._ 126.T.C 126.U.V 126._._	1.0 0.0 1.6 3.0 0.0	⁴+d̪ɔ+	0	7	And:7
23303	114_and	And	BWE	BWE	gye	gye	gʲ e	bwek1238		18.9796	96.9936		1 7	AX	KE	20	20.K.C 20.E.V	2.0 1.5	gʲe	0	9	And:9
23304	114_and	And	BWE	BWE	kye (between nouns)	kye	kʲ e	bwek1238		18.9796	96.9936		1 7	AX	KE	20	20.K.C 20.E.V	2.0 1.5	kʲe	0	9	And:9
23305	114_and	And	BWE	BWE	lä (bet. phrases)	lä	l ɛ	bwek1238		18.9796	96.9936		5 7	AX	LE	20	20.L.C 20.E.V	2.0 1.5	lɛ	0	1	And:1
