# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
#
23261	114_and	And	KHMER	KHMER	nō	nō	n̪ oː	cent1989	1577	12.0515	105.015	
23262	114_and	And	TALAINGWRITTEN	TALAING_WRITTEN	kuim (also)	kuim	k u i m	monn1252	1577	15.49394	98.122465	
23263	114_and	And	TALAINGSPOKEN	TALAING_SPOKEN	kà	kà	k a	monn1252	1577	15.49394	98.122465	
23264	114_and	And	TALAINGSPOKEN	TALAING_SPOKEN	k^àrum	k^àrum	k a r u m	monn1252	1577	15.49394	98.122465	
23265	114_and	And	PALAUNG	PALAUNG	nà	nà	n̪ a	ruma1248	1577	23.6404	97.3172	
23266	114_and	And	PALAUNG	PALAUNG	nån	nån	n̪ ɔ n̪	ruma1248	1577	23.6404	97.3172	
23267	114_and	And	PALAUNG	PALAUNG	(also) pai	pai	p ai	ruma1248	1577	23.6404	97.3172	
23269	114_and	And	WA	WA	dä (between verbs)	dä	d̪ ɛ	nucl1290	1577	23.1024	99.108	
23270	114_and	And	WA	WA	kàm (bet. nouns)	kàm	k a m	nucl1290	1577	23.1024	99.108	
23271	114_and	And	DANAO	DANAO	nà	nà	n̪ a	dana1252	1577	20.4957	96.998	
23272	114_and	And	KHASISTANDARD	KHASI_STANDARD	bàd	bàd	b a d̪	khas1269	1577	24.977	91.9998	
23273	114_and	And	WAR	WAR	bà	bà	b a	warj1242	1577	25.1154	91.6266	
23274	114_and	And	NICOBARESE	NICOBARESE	an-dīawa	an-dīawa	ʌ n̪ + d̪ iː ʌ w ʌ	cent1990	1577	7.94812	93.3921	
23275	114_and	And	KHERWARISANTHALI	KHERWARI_SANTHALI	ār (Aryan)	ār	ʌː r	sant1410	1577	25.0317	87.8185	
23276	114_and	And	MUNDARI	MUNDARI	oṛo	oṛo	o ɽ o	mund1320	1577	23.03	85.85	
23277	114_and	And	MUNDARI	MUNDARI	aᵗ	aᵗ	ʌ t̪̚	mund1320	1577	23.03	85.85	
23278	114_and	And	KURKU	KURKU	ēṭā	ēṭā	eː ʈ ʌː	kork1243	1577	21.8358	77.5541	
23279	114_and	And	KURKU	KURKU	dō	dō	d̪ oː	kork1243	1577	21.8358	77.5541	
23280	114_and	And	KHARIA	KHARIA	oṛo	oṛo	o ɽ o	khar1287	1577	22.3571	84.3922	
23281	114_and	And	SAVARA	SAVARA	bāran	bāran	b ʌː r ʌ n̪	sora1254	1577	19.1213	84.19	
23282	114_and	And	GADABA	GADABA	miyō̃	miyō̃	m i j õː	bodo1267	1577	18.3857	82.771	
23283	114_and	And	GADABA	GADABA	bāhar	bāhar	b ʌː h ʌ r	bodo1267	1577	18.3857	82.771	
23295	114_and	And	VIETNAMESE	VIETNAMESE	˨˩ và	và˨˩	v a ²¹	viet1252	1577	20.681188	105.774071	
#
56112	53_ass	Ass	KHMER	KHMER	leà	leà	l e a	cent1989	1862	12.0515	105.015	
56113	53_ass	Ass	TALAINGWRITTEN	TALAING_WRITTEN	māai	māai	m ʌː ai	monn1252	1862	15.49394	98.122465	
56114	53_ass	Ass	TALAINGSPOKEN	TALAING_SPOKEN	mai	mai	m ai	monn1252	1862	15.49394	98.122465	
56115	53_ass	Ass	PALAUNG	PALAUNG	lā	lā	l ʌː	ruma1248	1862	23.6404	97.3172	
56116	53_ass	Ass	DARANG	DARANG	mà-lo (mule)	mà-lo	m a + l o	ruch1235	1862	21.6176	98.0915	
56117	53_ass	Ass	WA	WA	màruàṅ	màruàṅ	m a r u a ŋ	nucl1290	1862	23.1024	99.108	
56118	53_ass	Ass	SON	SON	mà-lå (mule)	mà-lå	m a + l ɔ	sonn1238	1862			
56119	53_ass	Ass	EN	EN	m’blåṅ-hå (mule)	m’blåṅ-hå	mʰ b l ɔ ŋ + h ɔ	ennn1242	1862			
56120	53_ass	Ass	TAILOI	TAI_LOI	n’rāṅ-hå (mule)	n’rāṅ-hå	n̪̊ r ʌː ŋ + h ɔ	tail1246	1862	21.4293	100.985	
56121	53_ass	Ass	AMOK	A_MOK	m’làṅ-lå (mule)	m’làṅ-lå	mʰ l a ŋ + l ɔ	mokk1243	1862	18.9117	99.5821	
56122	53_ass	Ass	ANGKU	ANG_KU	mà-lå (mule)	mà-lå	m a + l ɔ	huuu1240	1862	22.0163	100.881	
56124	53_ass	Ass	YINRIANG	YIN_RIANG	lå-là (mule)	lå-là	l ɔ + l a	rian1261	1862	24.0521	98.8333	
56125	53_ass	Ass	KHASISTANDARD	KHASI_STANDARD	kàddà	kàddà	k a d̪ d̪ a	khas1269	1862	24.977	91.9998	
56126	53_ass	Ass	WAR	WAR	kàddà	kàddà	k a d̪ d̪ a	warj1242	1862	25.1154	91.6266	
56127	53_ass	Ass	SAVARA	SAVARA	pekui	pekui	p e k u i	sora1254	1862	19.1213	84.19	
56136	53_ass	Ass	VIETNAMESE	VIETNAMESE	˧ kon ˨˩ lüà	kon˧lüà˨˩	k o n̪ ³ + l y a ²¹	viet1252	1862	20.681188	105.774071	
#
51832	37_back	Back	KHMER	KHMER	k’nàṅ	k’nàṅ	kʰ n̪ a ŋ	cent1989	1291	12.0515	105.015	
51833	37_back	Back	TALAINGWRITTEN	TALAING_WRITTEN	chaḥ	chaḥ	tʃ ʌ h	monn1252	1291	15.49394	98.122465	
51834	37_back	Back	TALAINGSPOKEN	TALAING_SPOKEN	j^àh	j^àh	dʒ a h	monn1252	1291	15.49394	98.122465	
51835	37_back	Back	SAKAI	SAKAI	chᵉlōᵗ	chᵉlōᵗ	tʃ ĕ l oː t̪̚	seno1278	1291			
51836	37_back	Back	SEMANG	SEMANG	krå’	krå’	k r ɔ	nort2682	1291			
51837	37_back	Back	SEMANG	SEMANG	kiå’	kiå’	k i ɔ	nort2682	1291			
51838	37_back	Back	PALAUNG	PALAUNG	kråṅ	kråṅ	k r ɔ ŋ	ruma1248	1291	23.6404	97.3172	
51840	37_back	Back	DARANG	DARANG	sààn-ke	sààn-ke	s a a n̪ + k e	ruch1235	1291	21.6176	98.0915	
